trace,undead_deps_sum,undead_deps_thread,pwr_deps_sum,pwr_deps_thread,extra_deps_sum,extra_deps_thread
account.std,5,0-2-2-1-0,5,0-2-2-1-0,0,0-0-0-0-0
array.std,3,0-1-2-0,3,0-1-2-0,0,0-0-0-0
boundedbuffer.std,4,2-2-0,34,4-30-0,0,0-0-0
bubblesort.std,24,2-2-2-2-2-2-2-2-2-2-2-2-0,121,17-16-11-11-7-12-6-6-8-19-6-2-0,0,0-0-0-0-0-0-0-0-0-0-0-0-0
bufwriter.std,7,2-1-2-2-0-0-0,1374,336-1-505-532-0-0-0,0,0-0-0-0-0-0-0
clean.std,25,2-4-5-5-0-5-0-0-4-0,239,2-46-47-47-0-59-0-0-38-0,0,0-0-0-0-0-0-0-0-0-0
derby.std,7589,0-1533-1591-4465-0,28187,0-10934-5163-12090-0,0,0-0-0-0-0
ftpserver.std,1323,2-184-244-377-2-4-0-128-100-0-282-0,5498,2-834-1062-1517-7-9-0-135-597-0-1335-0,0,0-0-0-0-0-0-0-0-0-0-0-0
jigsaw.std,1388,24-67-4-106-1-0-436-0-748-2-0-0,5432,25-114-6-253-1-0-1641-0-3390-2-0-0,0,0-0-0-0-0-0-0-0-0-0-0-0
linkedlist.std,2001,200-200-200-200-200-200-0-200-200-200-200-1-0,2001,200-200-200-200-200-200-0-200-200-200-200-1-0,0,0-0-0-0-0-0-0-0-0-0-0-0-0
lufact.std,2,0-0-0-2-0,6,0-0-0-6-0,0,0-0-0-0-0
luindex.std,187,70-117-0,207364,96278-111086-0,0,0-0-0
lusearch.std,293,0-35-69-68-71-16-34-0,166849,0-20700-42054-41954-41581-59-20501-0,0,0-0-0-0-0-0-0-0
mergesort.std,11,2-2-4-3-0-0,55,11-24-15-5-0-0,0,0-0-0-0-0-0
moldyn.std,5,0-0-5-0,31,0-0-31-0,0,0-0-0-0
producerconsumer.std,15,0-4-1-1-4-2-2-1-0,46,0-5-1-1-20-9-9-1-0,0,0-0-0-0-0-0-0-0-0
raytracer.std,19,0-1-18-0,60,0-1-59-0,0,0-0-0-0
readerswriters.std,8,0-2-2-2-2-0,1729,0-235-349-571-574-0,0,0-0-0-0-0-0
sor.std,11,2-2-2-5-0,633553,256043-63246-82553-231711-0,0,0-0-0-0-0
sunflow.std,121,10-0-2-10-2-2-8-8-2-10-9-11-9-10-9-9-10,587,91-0-2-30-94-2-36-33-2-32-31-66-32-35-35-30-36,0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
tsp.std,26,3-5-2-3-4-4-2-1-2-0,91,8-10-8-8-26-14-7-1-9-0,0,0-0-0-0-0-0-0-0-0-0
twostage.std,20,2-2-2-2-2-0-2-2-2-2-0-2-0,20,2-2-2-2-2-0-2-2-2-2-0-2-0,0,0-0-0-0-0-0-0-0-0-0-0-0-0
wronglock.std,20,1-1-1-1-1-1-1-1-1-0-1-0-1-1-1-1-0-1-1-1-1-1-1,20,1-1-1-1-1-1-1-1-1-0-1-0-1-1-1-1-0-1-1-1-1-1-1,0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
