trace,vc_limit,races_undead,races_pwrundead,time_taken_full,time_taken_phase2,undead_deps_thread,pwr_deps_thread,extra_deps_thread,vc_limit_exceeded,vc_limit_exceeded_dep_counter,locks,reads,writes,acquires,releases,forks,joins,notifies,waits
account.std,5,0,0,1,0,0 2 2 1 0,0 2 2 1 0,0 0 0 0 0,0,0,3,64,53,5,5,6,1,0,0
airlinetickets.std,5,0,0,3,0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0,0,0,77,50,0,0,13,0,0,0
array.std,5,0,0,5,0,0 1 2 0,0 1 2 0,0 0 0 0,0,0,2,8,32,3,3,5,0,0,0
boundedbuffer.std,5,0,0,1,0,2 2 0,4 30 0,0 0 0,24,1,2,157,101,34,34,6,0,0,0
bubblesort.std,5,0,0,3,0,2 2 2 2 2 2 2 2 2 2 2 2 0,17 16 11 11 7 12 6 6 8 19 6 2 0,0 0 0 0 0 0 0 0 0 0 0 0 0,53,1,2,3964,407,121,121,28,0,0,0
bufwriter.std,5,0,0,14,0,2 1 2 2 0 0 0,336 1 505 532 0 0 0,0 0 0 0 0 0 0,1355,1,1,15850,3640,1374,1374,8,4,0,0
clean.std,5,0,0,1,0,2 4 5 5 0 5 0 0 4 0,2 46 47 47 0 59 0 0 38 0,0 0 0 0 0 0 0 0 0 0,174,2,2,687,123,239,239,11,0,0,0
critical.std,5,0,0,0,0,0 0 0 0 0,0 0 0 0 0,0 0 0 0 0,0,0,0,18,33,0,0,6,2,0,0
derby.std,5,2,2,20791,18455,0 1533 1591 4465 0,0 10934 5163 12090 0,0 0 0 0 0,12109,857,1112,879507,442272,28187,28187,6,2,0,0
ftpserver.std,5,25,2,735,683,2 184 244 377 2 4 0 128 100 0 282 0,2 834 1062 1517 7 9 0 135 597 0 1335 0,0 0 0 0 0 0 0 0 0 0 0 0,3010,161,301,30049,8498,5498,5498,13,4,0,0
jigsaw.std,5,18,0,3126,1152,24 67 4 106 1 0 436 0 748 2 0 0,25 114 6 253 1 0 1641 0 3390 2 0 0,0 0 0 0 0 0 0 0 0 0 0 0,3071,141,275,2638837,437263,5432,5432,14,4,0,0
lang.std,5,0,0,5,0,0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0,0,0,0,4321,1922,0,0,9,5,0,0
linkedlist.std,5,0,0,630,20,200 200 200 200 200 200 0 200 200 200 200 1 0,200 200 200 200 200 200 0 200 200 200 200 1 0,0 0 0 0 0 0 0 0 0 0 0 0 0,0,0,1002,993177,5084,2001,2001,14,10,0,0
lufact.std,5,0,0,85820,0,0 0 0 2 0,0 0 0 6 0,0 0 0 0 0,0,0,1,90647341,43431687,6,6,4,3,0,0
luindex.std,5,2,0,240266,14,70 117 0,96278 111086 0,0 0 0,206973,38,65,313656441,83680962,207364,207364,3,0,0,0
lusearch.std,5,1,0,128529,20,0 35 69 68 71 16 34 0,0 20700 42054 41954 41581 59 20501 0,0 0 0 0 0 0 0 0,166307,46,118,162140579,55011649,166849,166849,9,0,0,0
mergesort.std,5,0,0,4,0,2 2 4 3 0 0,11 24 15 5 0 0,0 0 0 0 0 0,30,2,3,1996,916,55,55,7,3,0,0
moldyn.std,5,0,0,100,0,0 0 5 0,0 0 31 0,0 0 0 0,18,2,2,182757,17470,31,31,5,1,0,0
pingpong.std,5,0,0,1,0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0,0,0,57,74,0,0,20,0,0,0
producerconsumer.std,5,0,0,1,0,0 4 1 1 4 2 2 1 0,0 5 1 1 20 9 9 1 0,0 0 0 0 0 0 0 0 0,14,3,3,392,160,46,46,9,5,0,0
raytracer.std,5,0,0,10,0,0 1 18 0,0 1 59 0,0 0 0 0,18,3,8,10373,5272,60,60,5,1,0,0
readerswriters.std,5,0,0,7,0,0 2 2 2 2 0,0 235 349 571 574 0,0 0 0 0 0 0,1705,1,1,5623,2180,1729,1729,6,0,0,0
sor.std,5,0,0,436581,0,2 2 2 5 0,256043 63246 82553 231711 0,0 0 0 0 0,633523,2,2,504056016,101598263,633553,633553,4,3,0,0
sunflow.std,5,0,0,7538,0,10 0 2 10 2 2 8 8 2 10 9 11 9 10 9 9 10,91 0 2 30 94 2 36 33 2 32 31 66 32 35 35 30 36,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,305,18,9,8953200,2702655,587,587,16,12,0,0
tsp.std,5,0,0,180576,0,3 5 2 3 4 4 2 1 2 0,8 10 8 8 26 14 7 1 9 0,0 0 0 0 0 0 0 0 0 0,24,3,2,283647273,23660529,91,90,9,0,0,0
twostage.std,5,0,0,3,0,2 2 2 2 2 0 2 2 2 2 0 2 0,2 2 2 2 2 0 2 2 2 2 0 2 0,0 0 0 0 0 0 0 0 0 0 0 0 0,0,0,2,106,33,20,20,14,0,0,0
wronglock.std,5,0,0,1,0,1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0,2,134,48,20,20,24,0,0,0
