trace,detector,time_taken_full (ms),time_taken_phase_1 (ms),time_taken_phase_2 (ms)
bufwriter.std,UNDEAD,10,10,0
bufwriter.std,UNDEAD_PWR,15,15,0
bufwriter.std,UNDEAD_PWR_EXTRA_EARLY,14,14,0
derby.std,UNDEAD,3462,736,2726
derby.std,UNDEAD_PWR,1215,910,305
derby.std,UNDEAD_PWR_EXTRA_EARLY,108920,107379,1541
ftpserver.std,UNDEAD,27,26,1
ftpserver.std,UNDEAD_PWR,40,37,3
ftpserver.std,UNDEAD_PWR_EXTRA_EARLY,1936,429,1507
jigsaw.std,UNDEAD,1391,1388,3
jigsaw.std,UNDEAD_PWR,1669,1663,6
jigsaw.std,UNDEAD_PWR_EXTRA_EARLY,31328,31300,28
linkedlist.std,UNDEAD,451,440,11
linkedlist.std,UNDEAD_PWR,589,585,4
linkedlist.std,UNDEAD_PWR_EXTRA_EARLY,47346,47341,5
lufact.std,UNDEAD,57754,57754,0
lufact.std,UNDEAD_PWR,82577,82577,0
lufact.std,UNDEAD_PWR_EXTRA_EARLY,87033,87033,0
luindex.std,UNDEAD,182319,182319,0
luindex.std,UNDEAD_PWR,220476,220476,0
luindex.std,UNDEAD_PWR_EXTRA_EARLY,274226,274226,0
lusearch.std,UNDEAD,96187,96187,0
lusearch.std,UNDEAD_PWR,116352,116352,0
lusearch.std,UNDEAD_PWR_EXTRA_EARLY,814633,814544,89
moldyn.std,UNDEAD,83,83,0
moldyn.std,UNDEAD_PWR,93,93,0
moldyn.std,UNDEAD_PWR_EXTRA_EARLY,102,102,0
sor.std,UNDEAD,278883,278883,0
sor.std,UNDEAD_PWR,393562,393562,0
sor.std,UNDEAD_PWR_EXTRA_EARLY,459217,459217,0
sunflow.std,UNDEAD,5079,5079,0
sunflow.std,UNDEAD_PWR,7254,7254,0
sunflow.std,UNDEAD_PWR_EXTRA_EARLY,12937,12934,3
tsp.std,UNDEAD,139254,139254,0
tsp.std,UNDEAD_PWR,166237,166237,0
tsp.std,UNDEAD_PWR_EXTRA_EARLY,220544,220544,0
