trace,vc_limit,time_taken_full_undead,time_taken_full_undead_pwr,time_taken_full_undead_pwr_extra,time_taken_phase2_undead,time_taken_phase2_undead_pwr,time_taken_phase2_undead_pwr_extra
account.std,5,0,0,0,0,0,0
airlinetickets.std,5,0,0,0,0,0,0
array.std,5,0,0,0,0,0,0
boundedbuffer.std,5,1,0,0,0,0,0
bubblesort.std,5,2,3,3,0,0,0
bufwriter.std,5,10,12,12,0,0,0
clean.std,5,1,1,1,0,0,0
critical.std,5,0,0,0,0,0,0
derby.std,5,11999,20194,21332,10773,18278,19149
ftpserver.std,5,2433,711,777,2400,669,725
jigsaw.std,5,2335,3228,3206,853,1166,1226
lang.std,5,5,4,4,0,0,0
linkedlist.std,5,498,611,630,43,17,21
lufact.std,5,58185,84397,85482,0,0,0
luindex.std,5,180148,236737,240287,6,14,15
lusearch.std,5,96372,122768,125700,24,20,21
mergesort.std,5,4,2,2,0,0,0
moldyn.std,5,86,98,98,0,0,0
pingpong.std,5,1,0,0,0,0,0
producerconsumer.std,5,1,1,1,0,0,0
raytracer.std,5,8,10,10,0,0,0
readerswriters.std,5,5,6,7,0,0,0
sor.std,5,283064,420806,433464,0,0,0
sunflow.std,5,5166,7171,7450,0,0,0
tsp.std,5,135238,174972,176747,0,0,0
twostage.std,5,2,1,0,0,0,0
wronglock.std,5,1,1,1,0,0,0
